,Store,Date,Weekly_Sales
0,1,20100205,1643690.9
1,1,20100212,1641957.4399999997
2,1,20100219,1611968.17
3,1,20100226,1409727.5900000003
4,1,20100305,1554806.68
5,1,20100312,1439541.5900000005
6,1,20100319,1472515.7899999998
7,1,20100326,1404429.9200000004
8,1,20100402,1594968.2799999998
9,1,20100409,1545418.5300000005
10,1,20100416,1466058.28
11,1,20100423,1391256.12
12,1,20100430,1425100.7100000002
13,1,20100507,1603955.1200000003
14,1,20100514,1494251.5000000002
15,1,20100521,1399662.0700000003
16,1,20100528,1432069.9500000002
17,1,20100604,1615524.71
18,1,20100611,1542561.09
19,1,20100618,1503284.0599999998
20,1,20100625,1422711.5999999996
21,1,20100702,1492418.1399999997
22,1,20100709,1546074.1799999997
23,1,20100716,1448938.9200000002
24,1,20100723,1385065.2000000004
25,1,20100730,1371986.6
26,1,20100806,1605491.7799999998
27,1,20100813,1508237.7600000005
28,1,20100820,1513080.49
29,1,20100827,1449142.9200000004
30,1,20100903,1540163.53
31,1,20100910,1507460.6900000002
32,1,20100917,1430378.67
33,1,20100924,1351791.03
34,1,20101001,1453329.4999999998
35,1,20101008,1508239.93
36,1,20101015,1459409.0999999996
37,1,20101022,1345454.0
38,1,20101029,1384209.2200000002
39,1,20101105,1551659.2799999993
40,1,20101112,1494479.4899999998
41,1,20101119,1483784.1800000006
42,1,20101126,1955624.1099999996
43,1,20101203,1548033.7799999993
44,1,20101210,1682614.26
45,1,20101217,1891034.929999999
46,1,20101224,2387950.1999999997
47,1,20101231,1367320.0099999998
48,1,20110107,1444732.2799999996
49,1,20110114,1391013.9599999997
50,1,20110121,1327405.4200000002
51,1,20110128,1316899.31
52,1,20110204,1606629.5799999998
53,1,20110211,1649614.9300000002
54,1,20110218,1686842.7799999996
55,1,20110225,1456800.2799999998
56,1,20110304,1636263.41
57,1,20110311,1553191.6300000001
58,1,20110318,1576818.0599999998
59,1,20110325,1541102.38
60,1,20110401,1495064.75
61,1,20110408,1614259.3500000006
62,1,20110415,1559888.9999999998
63,1,20110422,1564819.81
64,1,20110429,1455090.6899999997
65,1,20110506,1629391.2800000003
66,1,20110513,1604775.58
67,1,20110520,1428218.2699999996
68,1,20110527,1466046.6699999995
69,1,20110603,1635078.4100000004
70,1,20110610,1588948.3199999998
71,1,20110617,1532114.8599999996
72,1,20110624,1438830.1500000001
73,1,20110701,1488538.09
74,1,20110708,1534849.6400000004
75,1,20110715,1455119.97
76,1,20110722,1396926.8200000005
77,1,20110729,1352219.7899999998
78,1,20110805,1624383.75
79,1,20110812,1525147.09
80,1,20110819,1530761.43
81,1,20110826,1464693.4599999997
82,1,20110902,1550229.2200000002
83,1,20110909,1540471.2400000002
84,1,20110916,1514259.7799999996
85,1,20110923,1380020.2699999998
86,1,20110930,1394561.83
87,1,20111007,1630989.9499999993
88,1,20111014,1493525.9300000002
89,1,20111021,1502562.7800000003
90,1,20111028,1445249.0899999999
91,1,20111104,1697229.5799999994
92,1,20111111,1594938.8900000001
93,1,20111118,1539483.7000000002
94,1,20111125,2033320.6600000001
95,1,20111202,1584083.95
96,1,20111209,1799682.38
97,1,20111216,1881176.67
98,1,20111223,2270188.99
99,1,20111230,1497462.7199999997
100,1,20120106,1550369.9199999997
101,1,20120113,1459601.1700000002
102,1,20120120,1394393.84
103,1,20120127,1319325.59
104,1,20120203,1636339.6500000001
105,1,20120210,1802477.4300000004
106,1,20120217,1819869.9999999995
107,1,20120224,1539387.8300000003
108,1,20120302,1688420.7599999998
109,1,20120309,1675431.1599999997
110,1,20120316,1677472.78
111,1,20120323,1511068.0699999998
112,1,20120330,1649604.63
113,1,20120406,1899676.8799999997
114,1,20120413,1621031.7
115,1,20120420,1521577.8699999999
116,1,20120427,1468928.3699999994
117,1,20120504,1684519.99
118,1,20120511,1611096.05
119,1,20120518,1595901.8699999996
120,1,20120525,1555444.5500000003
121,1,20120601,1624477.5800000003
122,1,20120608,1697230.9600000002
123,1,20120615,1630606.9999999998
124,1,20120622,1527845.81
125,1,20120629,1540421.4900000002
126,1,20120706,1769854.16
127,1,20120713,1527014.04
128,1,20120720,1497954.7600000002
129,1,20120727,1439123.7100000004
130,1,20120803,1631135.7899999996
131,1,20120810,1592409.97
132,1,20120817,1597868.0500000003
133,1,20120824,1494122.3800000004
134,1,20120831,1582083.4000000001
135,1,20120907,1661767.3299999998
136,1,20120914,1517428.8699999999
137,1,20120921,1506126.06
138,1,20120928,1437059.2600000002
139,1,20121005,1670785.9699999997
140,1,20121012,1573072.8099999998
141,1,20121019,1508068.7700000003
142,1,20121026,1493659.7399999995
143,2,20100205,2136989.46
144,2,20100212,2137809.499999999
145,2,20100219,2124451.5400000005
146,2,20100226,1865097.27
147,2,20100305,1991013.1300000001
148,2,20100312,1990483.7799999998
149,2,20100319,1946070.8800000006
150,2,20100326,1750197.81
151,2,20100402,2066187.7199999995
152,2,20100409,1954689.2100000002
153,2,20100416,1874957.9400000002
154,2,20100423,1821990.93
155,2,20100430,1802450.29
156,2,20100507,2042581.7100000002
157,2,20100514,1880752.3599999996
158,2,20100521,1896937.0999999994
159,2,20100528,1957113.8899999997
160,2,20100604,2102539.9299999997
